state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Alabama,AL,Autauga,1001,Republican,Donald Trump,320,0.445
Alabama,AL,Autauga,1001,Republican,Ted Cruz,8,0.205
Alabama,AL,Autauga,1001,Republican,Marco Rubio,812,0.148
Alabama,AL,Autauga,1001,Republican,Ben Carson,164,0.146
Alabama,AL,Autauga,1001,Republican,John Kasich,109,0.035
Alabama,AL,Autauga,1001,Democrat,Hillary Clinton,166,0.8
Alabama,AL,Autauga,1001,Democrat,Bernie Sanders,958,0.182
Alabama,AL,Baldwin,1003,Republican,Donald Trump,25,0.469
Alabama,AL,Baldwin,1003,Republican,Marco Rubio,836,0.193
Alabama,AL,Baldwin,1003,Republican,Ted Cruz,309,0.17
Alabama,AL,Baldwin,1003,Republican,Ben Carson,12944,0.084
Alabama,AL,Baldwin,1003,Republican,John Kasich,27,0.059
Alabama,AL,Baldwin,1003,Democrat,Hillary Clinton,581,0.647
Alabama,AL,Baldwin,1003,Democrat,Bernie Sanders,1037,0.329
Alabama,AL,Barbour,1005,Republican,Donald Trump,1759,0.501
Alabama,AL,Barbour,1005,Republican,Ted Cruz,81,0.179
Alabama,AL,Barbour,1005,Republican,Marco Rubio,2002,0.146
Alabama,AL,Barbour,1005,Republican,Ben Carson,251,0.122
Alabama,AL,Barbour,1005,Republican,John Kasich,337,0.036
Alabama,AL,Barbour,1005,Democrat,Hillary Clinton,449,0.906
Alabama,AL,Barbour,1005,Democrat,Bernie Sanders,926,0.078
Alabama,AL,Bibb,1007,Republican,Donald Trump,370,0.494
Alabama,AL,Bibb,1007,Republican,Ted Cruz,3327,0.255
Alabama,AL,Bibb,1007,Republican,Marco Rubio,6646,0.112
Alabama,AL,Bibb,1007,Republican,Ben Carson,15,0.099
Alabama,AL,Bibb,1007,Republican,John Kasich,2524,0.021
Alabama,AL,Bibb,1007,Democrat,Hillary Clinton,1773,0.755
Alabama,AL,Bibb,1007,Democrat,Bernie Sanders,63,0.197
Alabama,AL,Blount,1009,Republican,Donald Trump,10,0.487
Alabama,AL,Blount,1009,Republican,Ted Cruz,195,0.244
Alabama,AL,Blount,1009,Republican,Marco Rubio,38712,0.122
Alabama,AL,Blount,1009,Republican,Ben Carson,592,0.1
Alabama,AL,Blount,1009,Republican,John Kasich,475,0.022
Alabama,AL,Blount,1009,Democrat,Hillary Clinton,1542,0.551
Alabama,AL,Blount,1009,Democrat,Bernie Sanders,10,0.386
Alabama,AL,Bullock,1011,Republican,Donald Trump,339,0.565
Alabama,AL,Bullock,1011,Republican,Ted Cruz,8801,0.17
Alabama,AL,Bullock,1011,Republican,Marco Rubio,928,0.116
Alabama,AL,Bullock,1011,Republican,Ben Carson,754,0.085
Alabama,AL,Bullock,1011,Republican,John Kasich,1496,0.042
Alabama,AL,Bullock,1011,Democrat,Hillary Clinton,1730,0.913
Alabama,AL,Bullock,1011,Democrat,Bernie Sanders,182,0.066
Alabama,AL,Butler,1013,Republican,Donald Trump,72,0.538
Alabama,AL,Butler,1013,Republican,Ted Cruz,2089,0.167
Alabama,AL,Butler,1013,Republican,Marco Rubio,694,0.133
Alabama,AL,Butler,1013,Republican,Ben Carson,724,0.118
Alabama,AL,Butler,1013,Republican,John Kasich,123,0.027
Alabama,AL,Butler,1013,Democrat,Hillary Clinton,5711,0.921
Alabama,AL,Butler,1013,Democrat,Bernie Sanders,269,0.065
Alabama,AL,Calhoun,1015,Republican,Donald Trump,6030,0.451
Alabama,AL,Calhoun,1015,Republican,Ted Cruz,2064,0.194
Alabama,AL,Calhoun,1015,Republican,Marco Rubio,132,0.163
Alabama,AL,Calhoun,1015,Republican,Ben Carson,50217,0.118
Alabama,AL,Calhoun,1015,Republican,John Kasich,3,0.048
Alabama,AL,Calhoun,1015,Democrat,Hillary Clinton,14,0.765
Alabama,AL,Calhoun,1015,Democrat,Bernie Sanders,2103,0.218
Alabama,AL,Chambers,1017,Republican,Donald Trump,197,0.476
Alabama,AL,Chambers,1017,Republican,Ted Cruz,354,0.2
Alabama,AL,Chambers,1017,Republican,Ben Carson,36,0.131
Alabama,AL,Chambers,1017,Republican,Marco Rubio,2196,0.131
Alabama,AL,Chambers,1017,Republican,John Kasich,27,0.037
Alabama,AL,Chambers,1017,Democrat,Hillary Clinton,980,0.886
Alabama,AL,Chambers,1017,Democrat,Bernie Sanders,95,0.095
Alabama,AL,Cherokee,1019,Republican,Donald Trump,34,0.521
Alabama,AL,Cherokee,1019,Republican,Ted Cruz,33,0.173
Alabama,AL,Cherokee,1019,Republican,Marco Rubio,4390,0.152
Alabama,AL,Cherokee,1019,Republican,Ben Carson,111,0.1
