state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Alabama,AL,Autauga,1001,Republican,Donald Trump,0,0.445
Alabama,AL,Autauga,1001,Republican,Ted Cruz,5,0.205
Alabama,AL,Autauga,1001,Republican,Marco Rubio,300,0.148
Alabama,AL,Autauga,1001,Republican,Ben Carson,3319,0.146
Alabama,AL,Autauga,1001,Republican,John Kasich,17843,0.035
Alabama,AL,Autauga,1001,Democrat,Hillary Clinton,1477,0.8
Alabama,AL,Autauga,1001,Democrat,Bernie Sanders,542,0.182
Alabama,AL,Baldwin,1003,Republican,Donald Trump,1328,0.469
Alabama,AL,Baldwin,1003,Republican,Marco Rubio,185,0.193
Alabama,AL,Baldwin,1003,Republican,Ted Cruz,2813,0.17
Alabama,AL,Baldwin,1003,Republican,Ben Carson,2543,0.084
Alabama,AL,Baldwin,1003,Republican,John Kasich,85,0.059
Alabama,AL,Baldwin,1003,Democrat,Hillary Clinton,417,0.647
Alabama,AL,Baldwin,1003,Democrat,Bernie Sanders,1041,0.329
Alabama,AL,Barbour,1005,Republican,Donald Trump,424,0.501
Alabama,AL,Barbour,1005,Republican,Ted Cruz,2171,0.179
Alabama,AL,Barbour,1005,Republican,Marco Rubio,0,0.146
Alabama,AL,Barbour,1005,Republican,Ben Carson,6672,0.122
Alabama,AL,Barbour,1005,Republican,John Kasich,888,0.036
Alabama,AL,Barbour,1005,Democrat,Hillary Clinton,694,0.906
Alabama,AL,Barbour,1005,Democrat,Bernie Sanders,198,0.078
Alabama,AL,Bibb,1007,Republican,Donald Trump,1318,0.494
Alabama,AL,Bibb,1007,Republican,Ted Cruz,15,0.255
Alabama,AL,Bibb,1007,Republican,Marco Rubio,13,0.112
Alabama,AL,Bibb,1007,Republican,Ben Carson,2777,0.099
Alabama,AL,Bibb,1007,Republican,John Kasich,97,0.021
Alabama,AL,Bibb,1007,Democrat,Hillary Clinton,304,0.755
Alabama,AL,Bibb,1007,Democrat,Bernie Sanders,1404,0.197
Alabama,AL,Blount,1009,Republican,Donald Trump,652,0.487
Alabama,AL,Blount,1009,Republican,Ted Cruz,8890,0.244
Alabama,AL,Blount,1009,Republican,Marco Rubio,409,0.122
Alabama,AL,Blount,1009,Republican,Ben Carson,2952,0.1
Alabama,AL,Blount,1009,Republican,John Kasich,21171,0.022
Alabama,AL,Blount,1009,Democrat,Hillary Clinton,179,0.551
Alabama,AL,Blount,1009,Democrat,Bernie Sanders,355,0.386
Alabama,AL,Bullock,1011,Republican,Donald Trump,18,0.565
Alabama,AL,Bullock,1011,Republican,Ted Cruz,4931,0.17
Alabama,AL,Bullock,1011,Republican,Marco Rubio,25,0.116
Alabama,AL,Bullock,1011,Republican,Ben Carson,20,0.085
Alabama,AL,Bullock,1011,Republican,John Kasich,2287,0.042
Alabama,AL,Bullock,1011,Democrat,Hillary Clinton,7,0.913
Alabama,AL,Bullock,1011,Democrat,Bernie Sanders,326,0.066
Alabama,AL,Butler,1013,Republican,Donald Trump,654,0.538
Alabama,AL,Butler,1013,Republican,Ted Cruz,25,0.167
Alabama,AL,Butler,1013,Republican,Marco Rubio,5945,0.133
Alabama,AL,Butler,1013,Republican,Ben Carson,38,0.118
Alabama,AL,Butler,1013,Republican,John Kasich,7024,0.027
Alabama,AL,Butler,1013,Democrat,Hillary Clinton,561,0.921
Alabama,AL,Butler,1013,Democrat,Bernie Sanders,7,0.065
Alabama,AL,Calhoun,1015,Republican,Donald Trump,185,0.451
Alabama,AL,Calhoun,1015,Republican,Ted Cruz,1565,0.194
Alabama,AL,Calhoun,1015,Republican,Marco Rubio,34,0.163
Alabama,AL,Calhoun,1015,Republican,Ben Carson,438,0.118
Alabama,AL,Calhoun,1015,Republican,John Kasich,178,0.048
Alabama,AL,Calhoun,1015,Democrat,Hillary Clinton,678,0.765
Alabama,AL,Calhoun,1015,Democrat,Bernie Sanders,625,0.218
Alabama,AL,Chambers,1017,Republican,Donald Trump,7,0.476
Alabama,AL,Chambers,1017,Republican,Ted Cruz,1153,0.2
Alabama,AL,Chambers,1017,Republican,Ben Carson,1474,0.131
Alabama,AL,Chambers,1017,Republican,Marco Rubio,41,0.131
Alabama,AL,Chambers,1017,Republican,John Kasich,4108,0.037
Alabama,AL,Chambers,1017,Democrat,Hillary Clinton,15,0.886
Alabama,AL,Chambers,1017,Democrat,Bernie Sanders,67,0.095
Alabama,AL,Cherokee,1019,Republican,Donald Trump,1501,0.521
Alabama,AL,Cherokee,1019,Republican,Ted Cruz,420,0.173
Alabama,AL,Cherokee,1019,Republican,Marco Rubio,1265,0.152
Alabama,AL,Cherokee,1019,Republican,Ben Carson,464,0.1
Alabama,AL,Cherokee,1019,Republican,John Kasich,289,0.028
Alabama,AL,Cherokee,1019,Democrat,Hillary Clinton,160,0.661
Alabama,AL,Cherokee,1019,Democrat,Bernie Sanders,17733,0.249
Alabama,AL,Chilton,1021,Republican,Donald Trump,379,0.493
Alabama,AL,Chilton,1021,Republican,Ted Cruz,127,0.218
Alabama,AL,Chilton,1021,Republican,Marco Rubio,46,0.134
Alabama,AL,Chilton,1021,Republican,Ben Carson,362,0.108
Alabama,AL,Chilton,1021,Republican,John Kasich,304,0.02
Alabama,AL,Chilton,1021,Democrat,Hillary Clinton,1831,0.731
Alabama,AL,Chilton,1021,Democrat,Bernie Sanders,638,0.246
Alabama,AL,Choctaw,1023,Republican,Donald Trump,21007,0.499
Alabama,AL,Choctaw,1023,Republican,Ted Cruz,180,0.21
Alabama,AL,Choctaw,1023,Republican,Marco Rubio,1136,0.147
Alabama,AL,Choctaw,1023,Republican,Ben Carson,370,0.079
Alabama,AL,Choctaw,1023,Republican,John Kasich,9426,0.032
Alabama,AL,Choctaw,1023,Democrat,Hillary Clinton,197,0.802
Alabama,AL,Choctaw,1023,Democrat,Bernie Sanders,91,0.124
Alabama,AL,Clarke,1025,Republican,Donald Trump,1119,0.502
Alabama,AL,Clarke,1025,Republican,Ted Cruz,28326,0.193
Alabama,AL,Clarke,1025,Republican,Marco Rubio,595,0.175
Alabama,AL,Clarke,1025,Republican,Ben Carson,1799,0.089
Alabama,AL,Clarke,1025,Republican,John Kasich,112,0.027
Alabama,AL,Clarke,1025,Democrat,Hillary Clinton,138,0.93
Alabama,AL,Clarke,1025,Democrat,Bernie Sanders,75,0.063
Alabama,AL,Clay,1027,Republican,Donald Trump,3436,0.476
Alabama,AL,Clay,1027,Republican,Ted Cruz,1215,0.207
Alabama,AL,Clay,1027,Republican,Marco Rubio,311,0.125
Alabama,AL,Clay,1027,Republican,Ben Carson,177,0.122
Alabama,AL,Clay,1027,Republican,John Kasich,1524,0.031
Alabama,AL,Clay,1027,Democrat,Hillary Clinton,488,0.818
Alabama,AL,Clay,1027,Democrat,Bernie Sanders,137,0.137
Alabama,AL,Cleburne,1029,Republican,Donald Trump,972,0.483
Alabama,AL,Cleburne,1029,Republican,Ted Cruz,161,0.211
Alabama,AL,Cleburne,1029,Republican,Marco Rubio,193,0.136
Alabama,AL,Cleburne,1029,Republican,Ben Carson,843,0.1
Alabama,AL,Cleburne,1029,Republican,John Kasich,36,0.024
Alabama,AL,Cleburne,1029,Democrat,Hillary Clinton,5380,0.732
Alabama,AL,Cleburne,1029,Democrat,Bernie Sanders,78,0.238
Alabama,AL,Coffee,1031,Republican,Donald Trump,302,0.414
Alabama,AL,Coffee,1031,Republican,Ted Cruz,25,0.233
Alabama,AL,Coffee,1031,Republican,Marco Rubio,3739,0.155
Alabama,AL,Coffee,1031,Republican,Ben Carson,272,0.132
Alabama,AL,Coffee,1031,Republican,John Kasich,6304,0.036
Alabama,AL,Coffee,1031,Democrat,Hillary Clinton,606,0.772
Alabama,AL,Coffee,1031,Democrat,Bernie Sanders,20,0.201
Alabama,AL,Colbert,1033,Republican,Donald Trump,297,0.474
